ZipCode,StateFIPS,State,CountyFIPS,County
"76234","48","TX","121","DENTON"
"76234","48","TX","497","WISE"
"76239","48","TX","097","COOKE"
"76239","48","TX","337","MONTAGUE"
"76247","48","TX","121","DENTON"
"76247","48","TX","497","WISE"
"76249","48","TX","121","DENTON"
"76249","48","TX","497","WISE"
"76252","48","TX","097","COOKE"
"76252","48","TX","337","MONTAGUE"
"76258","48","TX","097","COOKE"
"76258","48","TX","121","DENTON"
"76258","48","TX","181","GRAYSON"
"76259","48","TX","121","DENTON"
"76259","48","TX","497","WISE"
"76261","48","TX","077","CLAY"
"76261","48","TX","337","MONTAGUE"
"76262","48","TX","439","TARRANT"
"76262","48","TX","121","DENTON"
"76265","48","TX","097","COOKE"
"76265","48","TX","337","MONTAGUE"
"76266","48","TX","097","COOKE"
"76266","48","TX","121","DENTON"
"76270","48","TX","337","MONTAGUE"
"76270","48","TX","497","WISE"
"76271","48","TX","097","COOKE"
"76271","48","TX","181","GRAYSON"
"76272","48","TX","097","COOKE"
"76272","48","TX","121","DENTON"
"76273","48","TX","097","COOKE"
"76273","48","TX","181","GRAYSON"
"76302","48","TX","077","CLAY"
"76302","48","TX","485","WICHITA"
"76305","48","TX","077","CLAY"
"76305","48","TX","485","WICHITA"
"76308","48","TX","009","ARCHER"
"76308","48","TX","485","WICHITA"
"76310","48","TX","009","ARCHER"
"76310","48","TX","077","CLAY"
"76310","48","TX","485","WICHITA"
"76360","48","TX","485","WICHITA"
"76360","48","TX","487","WILBARGER"
"76365","48","TX","077","CLAY"
"76365","48","TX","237","JACK"
"76372","48","TX","447","THROCKMORTON"
"76372","48","TX","503","YOUNG"
"76374","48","TX","009","ARCHER"
"76374","48","TX","447","THROCKMORTON"
"76374","48","TX","503","YOUNG"
"76380","48","TX","023","BAYLOR"
"76380","48","TX","275","KNOX"
"76384","48","TX","155","FOARD"
"76384","48","TX","487","WILBARGER"
"76389","48","TX","009","ARCHER"
"76389","48","TX","077","CLAY"
"76389","48","TX","237","JACK"
"76424","48","TX","429","STEPHENS"
"76424","48","TX","503","YOUNG"
"76426","48","TX","237","JACK"
"76426","48","TX","497","WISE"
"76429","48","TX","363","PALO PINTO"
"76429","48","TX","429","STEPHENS"
"76431","48","TX","237","JACK"
"76431","48","TX","497","WISE"
"76432","48","TX","049","BROWN"
"76432","48","TX","093","COMANCHE"
"76433","48","TX","143","ERATH"
"76433","48","TX","221","HOOD"
"76433","48","TX","425","SOMERVELL"
"76436","48","TX","093","COMANCHE"
"76436","48","TX","143","ERATH"
"76436","48","TX","193","HAMILTON"
"76437","48","TX","059","CALLAHAN"
"76437","48","TX","133","EASTLAND"
"76437","48","TX","429","STEPHENS"
"76442","48","TX","093","COMANCHE"
"76442","48","TX","133","EASTLAND"
"76442","48","TX","193","HAMILTON"
"76442","48","TX","333","MILLS"
"76443","48","TX","049","BROWN"
"76443","48","TX","059","CALLAHAN"
"76443","48","TX","083","COLEMAN"
"76444","48","TX","093","COMANCHE"
"76444","48","TX","143","ERATH"
"76445","48","TX","093","COMANCHE"
"76445","48","TX","133","EASTLAND"
"76445","48","TX","143","ERATH"
"76446","48","TX","093","COMANCHE"
"76446","48","TX","143","ERATH"
"76449","48","TX","237","JACK"
"76449","48","TX","363","PALO PINTO"
"76450","48","TX","363","PALO PINTO"
"76450","48","TX","429","STEPHENS"
"76450","48","TX","503","YOUNG"
"76453","48","TX","143","ERATH"
"76453","48","TX","363","PALO PINTO"
"76454","48","TX","093","COMANCHE"
"76454","48","TX","133","EASTLAND"
"76457","48","TX","035","BOSQUE"
"76457","48","TX","143","ERATH"
"76457","48","TX","193","HAMILTON"
"76458","48","TX","237","JACK"
"76458","48","TX","497","WISE"
"76459","48","TX","237","JACK"
"76459","48","TX","503","YOUNG"
"76462","48","TX","143","ERATH"
